date,open,high,low,close,MA,MA,Volume,Volume MA,OnBalanceVolume,RSI
2019-07-21T00:00:00Z,228.84,229.85,217.04,225.64,190.2674,269.9464,91169.58379,169297.9915,7206832.342,39.86547696
2019-07-22T00:00:00Z,225.7,228.28,211.45,217.13,NaN,268.9044,110967.2425,163765.1279,7095865.099,37.79599339
2019-07-23T00:00:00Z,217.13,219.11,208.43,211.93,NaN,268.152,120653.1267,164512.4983,6975211.973,36.54751414
2019-07-24T00:00:00Z,211.96,218.14,200.5,216.59,NaN,267.6652,162160.4314,167609.1298,7137372.404,38.50781507
2019-07-25T00:00:00Z,216.55,226.22,215.19,219.28,NaN,267.1244,104742.7579,167524.2885,7242115.162,39.66654793
2019-07-26T00:00:00Z,219.29,222.12,212.69,219.35,NaN,266.5234,75266.43096,167935.4708,7317381.593,39.69839158
2019-07-27T00:00:00Z,219.42,224.14,202.46,207.11,NaN,265.6758,130620.9166,168247.4305,7186760.676,36.10954687
2019-07-28T00:00:00Z,207.11,213.98,197,211.5,188.1344,265.0198,81987.97804,166970.0591,7268748.654,38.26520339
2019-07-29T00:00:00Z,211.5,215.31,205.7,210.73,NaN,264.6084,93192.26568,165244.8217,7175556.389,38.0228777
2019-07-30T00:00:00Z,210.7,214.56,204,209.83,NaN,263.8482,55786.23433,158590.9315,7119770.154,37.72218097
2019-07-31T00:00:00Z,209.8,218.92,209.53,218.7,NaN,263.32,65562.01625,150822.5467,7185332.171,42.54475797
2019-08-01T00:00:00Z,218.68,219.3,211,217.55,NaN,262.4126,63542.1278,149611.2309,7121790.043,42.08968571
2019-08-02T00:00:00Z,217.53,222.77,214.82,217.8,NaN,261.6606,76956.25704,149343.2717,7198746.3,42.23433986
2019-08-03T00:00:00Z,217.86,224.81,215.5,222.14,NaN,260.8274,72439.27351,141285.0624,7271185.573,44.81159391
2019-08-04T00:00:00Z,222.15,224.04,217.37,222.81,186.59,259.8978,42059.86933,123584.6665,7313245.443,45.21793956
2019-08-05T00:00:00Z,222.87,236.9,222.82,233,NaN,259.1912,122200.2546,109395.0916,7435445.697,51.11344757
2019-08-06T00:00:00Z,232.91,239.45,222.05,225.81,NaN,258.228,116406.5079,101985.5464,7319039.189,47.24959661
2019-08-07T00:00:00Z,225.82,231.22,220,225.8,NaN,257.4566,90294.85297,95130.49625,7228744.336,47.2442474
2019-08-08T00:00:00Z,225.96,226.48,213.7,220.81,NaN,256.497,102248.0943,94315.45267,7126496.242,44.53482455
2019-08-09T00:00:00Z,220.83,221.3,206.5,210.3,NaN,255.263,86725.79631,93249.1009,7039770.446,39.40851552
2019-08-10T00:00:00Z,210.3,214.68,200.38,206.1,NaN,253.46,78386.72352,92609.95788,6961383.722,37.54844973
2019-08-11T00:00:00Z,206.11,216.58,205.63,216.06,185.4262,251.6114,53920.20561,89757.60604,7015303.928,44.26658324
